group,n_group,n_base,med_group,med_base,stat_W,p_value,effect_rank_biserial,p_adj,timepoint,grna
one site,431,4198,0.174998065981589,-0.0299314652442477,1239065.5,0.00000000000000000000000000000000000103459475591481,0.266727941379665,0.00000000000000000000000000000000000206918951182963,2h,g2
2A 8mer,239,4198,0.125908401225971,-0.0299314652442477,664252.5,0.0000000000000000315713203045317,0.266936237817969,0.0000000000000000315713203045317,2h,g2
3A 8mer,329,4198,0.29564015301552,-0.0299314652442477,1021400.5,0.0000000000000000000000000000000000000000000000136551489645831,0.400457737147954,0.0000000000000000000000000000000000000000000000546205958583322,2h,g2
more than one site,94,4198,0.42442289891738,-0.0299314652442477,307742,0.0000000000000000000147670583616171,0.537089596869837,0.0000000000000000000196894111488228,2h,g2
one site,431,4198,0.213747395042538,-0.0617261676661325,1247888.5,0.0000000000000000000000000000000000000139293540120999,0.276480679674002,0.0000000000000000000000000000000000000278587080241998,4h,g2
2A 8mer,239,4198,0.175444660909793,-0.0617261676661325,677738.5,0.0000000000000000000620495616123719,0.293818933502903,0.0000000000000000000620495616123719,4h,g2
3A 8mer,329,4198,0.386402318305695,-0.0617261676661325,1020968.5,0.0000000000000000000000000000000000000000000000179837343079226,0.399832167872674,0.0000000000000000000000000000000000000000000000719349372316905,4h,g2
more than one site,94,4198,0.476439659649286,-0.0617261676661325,308808,0.00000000000000000000632855898676996,0.542492372254265,0.00000000000000000000843807864902661,4h,g2
